fecha,cabE,cabO,hab1,hab2,hab3,hab4
13/6/2024,,,,,,
14/6/2024,,,,,,
15/6/2024,X,,,,,
16/6/2024,X,,,,,
17/6/2024,X,,,,,
18/6/2024,,,,,,
19/6/2024,,,,,,
20/6/2024,X,,X,,,
21/6/2024,X,,X,,,
22/6/2024,X,,,,,
23/6/2024,,,,,,
24/6/2024,,,,,,
25/6/2024,,,,,,
26/6/2024,,,,,,
27/6/2024,,,,,,
28/6/2024,,,,,,
29/6/2024,,,,,,
30/6/2024,,,,,,
1/7/2024,,,,,,
2/7/2024,,,,,,
3/7/2024,,,,,,
4/7/2024,,,,,,
5/7/2024,,,,,,
6/7/2024,,,,,,
7/7/2024,,,,,,
8/7/2024,,,,,,
9/7/2024,,,,,,
10/7/2024,,,,,,
11/7/2024,,X,,,,
12/7/2024,,X,,,,
13/7/2024,X,X,X,,,
14/7/2024,X,X,X,,,
15/7/2024,X,,X,X,,
16/7/2024,X,,,,,
17/7/2024,X,-,,,,
18/7/2024,X,-,,,,
19/7/2024,X,-,,,,
20/7/2024,X,X,,,,
21/7/2024,X,X,,,,
22/7/2024,X,X,,,,
23/7/2024,,X,,,,
24/7/2024,,X,,,X,
25/7/2024,,X,X,,X,
26/7/2024,,,X,,X,
27/7/2024,,,X,,,
28/7/2024,,,,,,
29/7/2024,,,,,,
30/7/2024,,,,,,
31/7/2024,,,,,,
1/8/2024,,,,,,
2/8/2024,,,,,,
3/8/2024,,,,,,
4/8/2024,,,,,,
5/8/2024,,,,,,
6/8/2024,,,,,,
7/8/2024,,,,,,
8/8/2024,,,,,,
9/8/2024,,,,,,
10/8/2024,,,,,,
11/8/2024,,,,,,
12/8/2024,,,,,,
13/8/2024,,,,,,
14/8/2024,,,,,,
15/8/2024,,,,,,
16/8/2024,x,x,x,,,
17/8/2024,x,x,x,,,
18/8/2024,,,,,,
19/8/2024,,,,,,
20/8/2024,,,,,,
21/8/2024,,,,,,
22/8/2024,,,,,,
23/8/2024,,,,,,
24/8/2024,,,,,,
25/8/2024,,,,,,
26/8/2024,,,,,,
27/8/2024,,,,,,
28/8/2024,,,,,,
29/8/2024,,,,,,
30/8/2024,,,,,,
31/8/2024,,,x,,,
1/9/2024,,,,,,
2/9/2024,,,,,,
3/9/2024,,,,,,
4/9/2024,,,,,,
5/9/2024,,,,,,
6/9/2024,,,,,,
7/9/2024,,,,,,
8/9/2024,,,,,,
9/9/2024,,,,,,
10/9/2024,,,,,,
11/9/2024,,,,,,
12/9/2024,,,,,,
13/9/2024,,,,,,
14/9/2024,,,,,,
15/9/2024,,,,,,
16/9/2024,,,,,,
17/9/2024,,,,,,
18/9/2024,,,,,,
19/9/2024,,,,,,
20/9/2024,,,,,,
21/9/2024,,,,,,
22/9/2024,,,,,,
23/9/2024,,,,,,
24/9/2024,,,,,,
25/9/2024,,,,,,
26/9/2024,,,,,,
27/9/2024,,,,,,
28/9/2024,,,,,,
29/9/2024,,,,,,
30/9/2024,,,,,,
1/10/2024,,,,,,
2/10/2024,,,,,,
